,Rewards
0,6.931260594283376
1,-16.10804996393015
2,-6.645999424090141
3,6.220774977988603
4,-22.33350947149467
5,3.6604811783074442
6,1.7058364707346367
7,3.9152574394010795
8,1.2615072093711728
9,3.1426180413049245
10,2.5103381828302385
11,3.589420055881706
12,3.3369169731650903
13,4.907481674702905
14,5.823056110302323
15,1.3598687849760451
16,2.6081520430784226
17,4.70435752345828
18,3.7472720398276627
19,-14.328515335925406
20,2.9944643858517503
21,3.025387547157144
22,3.757836328217814
23,3.043192738322304
24,6.53760418661805
25,3.931480090256451
26,0.591321893794241
27,4.605321567068337
28,-0.2806314610172167
29,3.0787547224726604
30,2.2531113837893466
31,3.389936493947059
32,3.348518256017355
33,5.025209153599499
34,5.581768940215472
